ObjectID,PropertyID,PropertyValue,SourceID,TimeStamp
59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,0,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,0,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,0, 66.249.81.229,null
59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,1,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,1,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,37.203.192.146,null
59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0, 66.249.81.226,null
59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,0, 66.249.81.226,null
59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,87.113.227.182,null
59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (7)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (8)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (9)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (9)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (1)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (10)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (11)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (5)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (5)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (5)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (5)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (6)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (7)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (7)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (8)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (6)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (6)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (6)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (7)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (8)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (8)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (9)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (1)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (10)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (10)_3.jpg,IsHouse,0,75.157.128.88,null
