claim_id,object_key,property_key,property_value,source_id,timestamp,parent_id,"r806: LTM (0.001,0.8,1,0.4; 0.5,0.5,0.1,0.9,0.1,0.9,500,100,9)",r806_bool
2681093,59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0,37.203.192.146,"",,0.1591,f
2681094,59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,0,37.203.192.146,"",,1,t
2681095,59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,0,37.203.192.146,"",,1,t
2681096,59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,0,66.249.81.229,"",,0.0227,f
2681097,59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,1,37.203.192.146,"",,1,t
2681098,59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0,75.157.128.88,"",,0.1591,f
2681099,59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,75.157.128.88,"",,0.1591,f
2681100,59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681101,59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,75.157.128.88,"",,0.2955,f
2681102,59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,1,87.113.227.182,"",,0.0227,f
2681103,59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,75.157.128.88,"",,0.3409,f
2681104,59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,75.157.128.88,"",,0.4091,f
2681105,59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,75.157.128.88,"",,0.4545,f
2681106,59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,1,37.203.192.146,"",,0.9773,t
2681107,59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,37.203.192.146,"",,0.1591,f
2681108,59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,37.203.192.146,"",,0.1364,f
2681109,59KKA2065_1_oblique_02042015_1315 (1)_1.jpg,IsHouse,0,66.249.81.226,"",,0.1591,f
2681110,59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,0,66.249.81.226,"",,0.0909,f
2681111,59KKA2065_1_oblique_02042015_1315 (1)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681112,59KKA2065_1_oblique_02042015_1315 (10)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681113,59KKA2065_1_oblique_02042015_1315 (1)_2.jpg,IsHouse,1,75.157.128.88,"",,0.9773,t
2681114,59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
